idx,name,correct_name,a_code,return_1d,list_date,issue_date,ret45,cs,cap_hkd,ha_premium,current_premium,ret45_real,pos_real,beta_real,alpha_real,cap_real,ret45_diff,ret45_diff_abs,score_v60,score_v61
1,滨化股份,滨化股份,601678,-18.68,2026/7/10,2026/6/30,-17.45,31.88,83.83,-51.4,-56.27,29.724409448818896,0.9365079365331316,0.942912870867766,0.9731036261712268,156.3416517124,47.17440944881889,47.17440944881889,43.06262788701113,40.33296122034447
2,晶合集成,晶合集成,688249,0.0,2026/7/10,2026/6/30,-8.32,49.91,718.27,-49.7,-36.37,89.38081488610842,0.9423298731257208,1.7064663077537796,1.1677760212973525,938.426170134,97.70081488610842,97.70081488610842,63.15427729004014,66.69767729004013
3,三环集团,三环集团,300408,4.69,2026/7/9,2026/6/30,-19.83,49.8,1993.83,-44.7,-13.46,150.7843396674786,0.9004063679353822,2.2223385287115267,2.7822652997231954,2031.9922000962,170.6143396674786,170.6143396674786,48.56993632064618,54.07993632064618
4,普源精电,普源精电,688337,-37.36,2026/7/9,2026/6/30,-25.84,42.11,100.55,-43.5,-42.86,16.568139390168025,0.8500000000000002,1.3240491583244238,1.5733446071870645,87.60185277020001,42.408139390168024,42.408139390168024,46.898344607187056,45.75934460718706
5,鼎泰高科,鼎泰高科,301377,-1.79,2026/7/9,2026/6/30,-12.13,41.45,1611.37,-36.5,-26.54,133.24442186375376,0.7830307828615374,2.139240937446271,2.9961354386451693,1596.6987944836,145.37442186375375,145.37442186375375,47.37330782861537,53.15530782861538
7,安克创新,安克创新,300866,15.69,2026/7/2,2026/6/23,-2.84,49.9,578.95,-17.7,-23.48,0.7625964593735717,0.4641313742437337,0.7169418042670266,-0.0296517086930838,694.244822661,3.6025964593735713,3.6025964593735713,43.924465451130416,49.68614191324508
8,圣邦股份,圣邦股份,300661,47.07,2026/6/26,2026/6/17,0.0,49.86,575.11,-40.6,-22.99,73.36584080126518,0.9801910649058724,1.769587212853775,1.3732249885877663,649.7599865623,73.36584080126518,73.36584080126518,64.64264767286237,72.4019810061957
9,芯基微装,芯碁微装,688630,103.77,2026/6/26,2026/6/17,10.97,49.99,365.4,-51.8,-40.53,92.77552674230144,0.951282813809511,2.320935026118008,2.8032683672833865,559.1953772604,81.80552674230144,81.80552674230144,85.19787186190489,91.57477186190489
11,星源材质,星源材质,300568,22.49,2026/6/23,2026/6/12,4.24,45.12,134.27,-54.5,-45.46,26.004254602657355,0.8642577165192519,0.9550222821275068,0.5029753049788847,179.72714350779998,21.764254602657353,21.764254602657353,62.55337344476524,66.78970677809858
13,可孚医疗,可孚医疗,301087,-1.09,2026/5/6,2026/4/27,-7.23,35.74,92.78,-33.1,-37.29,-1.3004406371171529,0.6240429123711342,0.9088614567689592,0.5944657675367155,122.3833636,5.929559362882848,5.929559362882848,47.093360658784775,47.54202732545144
14,迈威生物,迈威生物-U,688062,0.58,2026/4/28,2026/4/20,-5.68,31.87,123.48,-32.9,-38.86,5.0471436494731,0.4038245219347584,1.2874848202418234,-0.3400191130927856,132.81288846,10.7271436494731,10.7271436494731,44.991264332440366,45.65714172276658
15,华勤技术,华勤技术,603296,13.26,2026/4/23,2026/4/15,8.76,49.9,834.72,-48.8,-33.04,19.19456060644719,0.612355953911231,1.441606764620633,0.1246489184273901,1303.3267775948,10.43456060644719,10.43456060644719,71.5206084575397,82.13220845753969
16,胜宏科技,胜宏科技,300476,50.09,2026/4/21,2026/4/13,11.34,38.81,2032.49,-36.2,-19.46,15.81897560545408,0.5264958936253421,2.221466203083082,0.3425196955335266,2112.98734795,4.47897560545408,4.47897560545408,78.47807863178696,87.31379916366024
17,国民技术,国民技术,300077,4.17,2026/3/23,2026/3/13,-11.11,13.7,73.24,-57.2,-55.62,14.159292035398224,0.4611764705882351,1.1101407761495692,-0.2105504749036924,115.48497701,25.269292035398223,25.269292035398223,37.79431518078604,36.10623282784486
23,先导智能,先导智能,300450,0.0,2026/2/11,2026/2/3,-8.54,43.19,766.61,-29.7,-22.23,22.29055714581124,0.7777777777777776,2.133001196846416,1.4638192664451053,552.9953396502001,30.83055714581124,30.83055714581124,46.608997044222875,50.42879704422289
24,澜起科技,澜起科技,688008,63.72,2026/2/9,2026/1/30,-2.39,49.84,1295.85,-46.3,22.98,55.28135940568696,0.9613051030215626,2.1347302527944594,1.111822827911562,2566.3032429546,57.67135940568696,57.67135940568696,73.33987179769593,82.96557179769593
25,大族数控,大族数控,301200,14.82,2026/2/6,2026/1/29,-7.15,49.96,455.97,-45.9,-64.49,44.24043116835664,0.7786206295230623,2.199121969566645,1.2120913025305575,1179.0954650992,51.390431168356635,51.390431168356635,57.360297597761175,64.20929759776118
28,东鹏饮料,东鹏饮料,605499,1.53,2026/2/3,2026/1/26,9.96,49.23,1391.04,-30.5,-25.42,-2.2594866949867463,0.0433651344322589,0.3004404714157265,-0.3228987521002872,1000.419979806,-12.219486694986749,12.219486694986749,52.87035009642287,66.2030834297562
29,龙旗科技,龙旗科技,603341,3.55,2026/1/22,2026/1/14,-3.68,27.18,162.0,-44.4,-50.19,17.2894165225882,0.8500331785003319,1.7874579677357147,0.0625445468032787,200.36125290960004,20.9694165225882,20.9694165225882,61.32901276179996,66.01541276179996
30,兆易创新,兆易创新,603986,37.53,2026/1/13,2025/12/31,16.71,49.75,1128.76,-30.9,7.39,-11.189683860232948,0.7141942824633765,2.727505097161996,0.5271137498154489,2741.2266263141996,-27.899683860232948,27.899683860232948,80.96117032426466,91.34617032426466
31,豪威集团,豪威集团,603501,16.22,2026/1/12,2025/12/31,4.46,45.28,1315.74,-23.6,-27.87,-6.655783928173935,0.257142857142857,1.3632302216814371,-0.3508357644191527,1163.4417968796,-11.115783928173936,11.115783928173936,51.06286433584772,60.26455005013344
32,南华期货股份,南华期货,603093,-24.17,2025/12/22,2025/12/12,1.61,0.0,86.13,-42.8,-65.0,-8.226343319068,0.2155388471177945,0.7395285819503896,-0.3401905851523232,118.4963798343,-9.836343319068,9.836343319068,42.48497905633026,46.5173848207413
