idx,name,a_code,matched_name
1,滨化股份,601678,滨化股份
2,晶合集成,688249,晶合集成
3,三环集团,300408,三环集团
4,普源精电,688337,普源精电
5,鼎泰高科,301377,鼎泰高科
6,立讯精密,002475,立讯精密
7,安克创新,300866,安克创新
8,圣邦股份,300661,圣邦股份
9,芯基微装,,
10,领益智造,002600,领益智造
11,星源材质,300568,星源材质
12,大金重工,002487,大金重工
13,可孚医疗,301087,可孚医疗
14,迈威生物,688062,迈威生物-U
15,华勤技术,603296,华勤技术
16,胜宏科技,300476,胜宏科技
17,国民技术,300077,国民技术
18,广合科技,001389,广合科技
19,美格智能,002881,美格智能
20,兆威机电,003021,兆威机电
21,埃斯顿,002747,埃斯顿
22,沃尔核材,002130,沃尔核材
23,先导智能,300450,先导智能
24,澜起科技,688008,澜起科技
25,大族数控,301200,大族数控
26,牧原股份,002714,牧原股份
27,国恩科技,,
28,东鹏饮料,605499,东鹏饮料
29,龙旗科技,603341,龙旗科技
30,兆易创新,603986,兆易创新
31,豪威集团,603501,豪威集团
32,南华期货股份,603093,南华期货
33,纳芯微,688052,纳芯微
34,中伟新材,300919,中伟新材
35,均胜电子,600699,均胜电子
36,赛力斯,601127,赛力斯
37,剑桥科技,603083,剑桥科技
38,三一重工,600031,三一重工
39,广和通,300638,广和通
40,天岳先进,688234,天岳先进
41,蓝思科技,300433,蓝思科技
42,Fortior 峰绍科技,,
43,安井食品,603345,安井食品
44,三花智控,002050,三花智控
45,海天味业,603288,海天味业
46,吉宏股份,002803,吉宏股份
47,恒瑞医药,600276,恒瑞医药
48,宁德时代,300750,宁德时代
49,钧达股份,002865,钧达股份
50,赤峰黄金,600988,赤峰黄金
