idx,name,correct_name,a_code,return_1d,list_date,issue_date,ret45,cs,cap_hkd,ha_premium,current_premium,ret45_real,pos_real,beta_real,alpha_real,cap_real,ret45_diff,ret45_diff_abs
1,滨化股份,滨化股份,601678,-18.68,2026/7/10,2026/6/30,-17.45,31.88,83.83,-51.4,-56.27,29.724409448818896,0.9365079365331317,0.9429128708677659,0.9731036261712269,156.3416517124,47.17440944881889,47.17440944881889
2,晶合集成,晶合集成,688249,0.0,2026/7/10,2026/6/30,-8.32,49.91,718.27,-49.7,-36.37,89.38081488610842,0.9423298731257209,1.7064663077537796,1.1677760212973523,938.4261701340001,97.70081488610842,97.70081488610842
3,三环集团,三环集团,300408,4.69,2026/7/9,2026/6/30,-19.83,49.8,1993.83,-44.7,-13.46,150.7843396674786,0.9004063679353822,2.2223385287115267,2.7822652997231954,2031.9922000962,170.6143396674786,170.6143396674786
4,普源精电,普源精电,688337,-37.36,2026/7/9,2026/6/30,-25.84,42.11,100.55,-43.5,-42.86,16.568139390168025,0.8500000000000002,1.3240491583244238,1.5733446071870643,87.60185277020001,42.408139390168024,42.408139390168024
5,鼎泰高科,鼎泰高科,301377,-1.79,2026/7/9,2026/6/30,-12.13,41.45,1611.37,-36.5,-26.54,133.24442186375376,0.7830307828615374,2.139240937446271,2.9961354386451693,1596.6987944836,145.37442186375375,145.37442186375375
6,立讯精密,立讯精密,002475,-1.55,2026/7/9,2026/6/30,-11.73,48.42,4873.66,-17.6,-11.59,,,,,,,
7,安克创新,安克创新,300866,15.69,2026/7/2,2026/6/23,-2.84,49.9,578.95,-17.7,-23.48,0.7625964593735717,0.4641313742437337,0.7169418042670266,-0.029651708693083874,694.244822661,3.6025964593735713,3.6025964593735713
8,圣邦股份,圣邦股份,300661,47.07,2026/6/26,2026/6/17,0.0,49.86,575.11,-40.6,-22.99,73.36584080126518,0.9801910649058725,1.769587212853775,1.3732249885877665,649.7599865623,73.36584080126518,73.36584080126518
9,芯基微装,芯碁微装,688630,103.77,2026/6/26,2026/6/17,10.97,49.99,365.4,-51.8,-40.53,92.77552674230144,0.951282813809511,2.320935026118008,2.8032683672833865,559.1953772604,81.80552674230144,81.80552674230144
10,领益智造,领益智造,002600,-4.62,2026/6/26,2026/6/17,3.53,38.57,826.62,-40.9,-52.4,,,,,,,
11,星源材质,星源材质,300568,22.49,2026/6/23,2026/6/12,4.24,45.12,134.27,-54.5,-45.46,26.004254602657355,0.8642577165192519,0.9550222821275068,0.5029753049788847,179.72714350779998,21.764254602657353,21.764254602657353
12,大金重工,大金重工,002487,0.0,2026/6/5,2026/5/28,-16.56,42.23,489.87,-17.2,-25.79,,,,,,,
13,可孚医疗,可孚医疗,301087,-1.09,2026/5/6,2026/4/27,-7.23,35.74,92.78,-33.1,-37.29,-1.3004406371171529,0.6240429123711342,0.9088614567689591,0.5944657675367155,122.3833636,5.929559362882848,5.929559362882848
14,迈威生物,迈威生物-U,688062,0.58,2026/4/28,2026/4/20,-5.68,31.87,123.48,-32.9,-38.86,5.0471436494731,0.4038245219347584,1.2874848202418234,-0.34001911309278565,132.81288846,10.7271436494731,10.7271436494731
15,华勤技术,华勤技术,603296,13.26,2026/4/23,2026/4/15,8.76,49.9,834.72,-48.8,-33.04,19.19456060644719,0.612355953911231,1.441606764620633,0.12464891842739018,1303.3267775948,10.43456060644719,10.43456060644719
16,胜宏科技,胜宏科技,300476,50.09,2026/4/21,2026/4/13,11.34,38.81,2032.49,-36.2,-19.46,15.81897560545408,0.5264958936253421,2.221466203083082,0.3425196955335266,2112.98734795,4.47897560545408,4.47897560545408
17,国民技术,国民技术,300077,4.17,2026/3/23,2026/3/13,-11.11,13.7,73.24,-57.2,-55.62,14.159292035398224,0.4611764705882351,1.1101407761495692,-0.21055047490369241,115.48497701,25.269292035398223,25.269292035398223
18,广合科技,广合科技,001389,33.56,2026/3/20,2026/3/12,-8.23,44.97,339.59,-44.9,-39.01,,,,,,,
19,美格智能,美格智能,002881,1.52,2026/3/10,2026/2/27,-0.08,39.46,87.16,-46.0,-61.14,,,,,,,
20,兆威机电,兆威机电,003021,2.41,2026/3/9,2026/2/27,4.65,34.17,190.66,-44.8,-48.93,,,,,,,
21,埃斯顿,埃斯顿,002747,-16.02,2026/3/9,2026/2/27,-5.94,35.19,148.65,-40.5,-49.44,,,,,,,
22,沃尔核材,沃尔核材,002130,2.94,2026/2/13,2026/2/5,-0.55,34.45,281.24,-32.8,-43.4,,,,,,,
23,先导智能,先导智能,300450,0.0,2026/2/11,2026/2/3,-8.54,43.19,766.61,-29.7,-22.23,22.290557145811242,0.7777777777777776,2.133001196846416,1.4638192664451053,552.9953396502001,30.83055714581124,30.83055714581124
24,澜起科技,澜起科技,688008,63.72,2026/2/9,2026/1/30,-2.39,49.84,1295.85,-46.3,22.98,55.281359405686956,0.9613051030215626,2.1347302527944594,1.111822827911562,2566.3032429546,57.67135940568696,57.67135940568696
25,大族数控,大族数控,301200,14.82,2026/2/6,2026/1/29,-7.15,49.96,455.97,-45.9,-64.49,44.240431168356636,0.7786206295230623,2.199121969566645,1.2120913025305575,1179.0954650992,51.390431168356635,51.390431168356635
26,牧原股份,牧原股份,002714,3.9,2026/2/6,2026/1/29,0.17,50.0,2237.32,-23.1,-27.54,,,,,,,
27,国恩科技,国恩股份,002768,11.56,2026/2/4,2026/1/27,-14.5,29.56,108.45,-62.3,-44.56,,,,,,,
28,东鹏饮料,东鹏饮料,605499,1.53,2026/2/3,2026/1/26,9.96,49.23,1391.04,-30.5,-25.42,-2.2594866949867463,0.04336513443225892,0.30044047141572655,-0.3228987521002872,1000.4199798059999,-12.219486694986747,12.219486694986747
29,龙旗科技,龙旗科技,603341,3.55,2026/1/22,2026/1/14,-3.68,27.18,162.0,-44.4,-50.19,17.2894165225882,0.8500331785003319,1.7874579677357147,0.06254454680327874,200.36125290960004,20.9694165225882,20.9694165225882
30,兆易创新,兆易创新,603986,37.53,2026/1/13,2025/12/31,16.71,49.75,1128.76,-30.9,7.39,-11.189683860232948,0.7141942824633765,2.727505097161996,0.5271137498154489,2741.2266263141996,-27.899683860232948,27.899683860232948
31,豪威集团,豪威集团,603501,16.22,2026/1/12,2025/12/31,4.46,45.28,1315.74,-23.6,-27.87,-6.655783928173935,0.25714285714285706,1.3632302216814371,-0.3508357644191527,1163.4417968796,-11.115783928173935,11.115783928173935
32,南华期货股份,南华期货,603093,-24.17,2025/12/22,2025/12/12,1.61,0.0,86.13,-42.8,-65.0,-8.226343319068,0.21553884711779459,0.7395285819503896,-0.3401905851523232,118.4963798343,-9.836343319068,9.836343319068
33,纳芯微,纳芯微,688052,-4.31,2025/12/8,2025/11/28,1.46,49.24,187.45,-31.3,-39.81,-17.910048665704053,0.2205213074058751,1.2179592518006188,-0.7576382022820507,311.4611450103,-19.370048665704054,19.370048665704054
34,中伟新材,中伟新材,300919,-0.12,2025/11/17,2025/11/7,1.76,46.62,354.37,-36.8,-43.09,37.93500265692395,0.8718217250922509,0.981818308848727,0.545460014064668,416.8464652092,36.17500265692395,36.17500265692395
35,均胜电子,均胜电子,600699,-8.0,2025/11/6,2025/10/28,-9.0,24.39,341.17,-36.3,-42.05,54.5678577715191,0.6578318487942646,1.1398880373358637,1.0235925500458876,308.2931879244,63.5678577715191,63.5678577715191
36,赛力斯,赛力斯,601127,0.0,2025/11/5,2025/10/27,-10.63,44.96,2290.71,-23.9,-33.05,,,,,974.2922585998,,
37,剑桥科技,剑桥科技,603083,33.86,2025/10/28,2025/10/20,2.54,48.91,230.77,-46.7,-56.39,,,,,575.943583372,,
38,三一重工,三一重工,600031,2.82,2025/10/28,2025/10/20,0.09,43.94,1939.58,-13.7,-10.51,,,,,1801.3013692082998,,
39,广和通,广和通,300638,11.72,2025/10/22,2025/10/14,-10.23,43.04,193.61,-35.1,-67.41,,,,,180.8423612284,,
40,天岳先进,天岳先进,688234,6.4,2025/8/20,2025/8/11,4.11,36.22,204.35,-36.4,-44.2,,,,,450.74370777440004,,
41,蓝思科技,蓝思科技,300433,9.13,2025/7/9,2025/6/30,0.85,31.46,953.55,-25.5,-49.39,,,,,1806.9129998009998,,
42,Fortior 峰绍科技,峰岹科技,688279,16.02,2025/7/9,2025/6/30,-3.94,38.94,133.88,-42.3,-41.3,,,,,182.57093088,,
43,安井食品,安井食品,603345,-5.0,2025/7/4,2025/6/25,-0.87,29.43,199.97,-28.4,-25.96,,,,,291.1945398884,,
44,三花智控,三花智控,002050,-0.13,2025/6/23,2025/6/13,-3.01,47.21,934.27,-19.1,-38.32,,,,,,,
45,海天味业,海天味业,603288,0.55,2025/6/19,2025/6/11,-7.72,46.07,2119.79,-20.1,-24.04,,,,,2155.2271268751997,,
46,吉宏股份,吉宏股份,002803,39.06,2025/5/27,2025/5/19,-4.84,29.8,34.77,-51.0,-42.71,,,,,,,
47,恒瑞医药,恒瑞医药,600276,25.2,2025/5/23,2025/5/15,1.51,41.76,2908.85,-24.9,-8.43,,,,,3511.078733346,,
48,宁德时代,宁德时代,300750,16.43,2025/5/20,2025/5/12,5.2,57.13,11900.0,-7.9,40.31,,,,,18155.4565676479,,
49,钧达股份,钧达股份,002865,20.09,2025/5/8,2025/4/28,6.02,34.82,64.81,-51.98,,,,,,,,
50,赤峰黄金,赤峰黄金,600988,0.0,2025/3/10,2025/2/28,4.72,26.4,256.5,-31.9,,,,,,702.9620947422001,,
