name,list_date,actual,return_1d,prob_broken,pred,n_train,score,grade
澜起科技,2026/2/9,0,63.72,0.00032442488142003735,0,10,99.96755751185799,A
国民技术,2026/3/23,0,4.17,0.9997025481485428,1,11,0.029745185145724218,D
胜宏科技,2026/4/21,0,50.09,0.0002978636164705645,0,12,99.97021363835294,A
华勤技术,2026/4/23,0,13.26,0.0002913784846588874,0,13,99.9708621515341,A
迈威生物-U,2026/4/28,0,0.58,0.999783242512659,1,14,0.021675748734095723,D
可孚医疗,2026/5/6,1,-1.09,0.9999990857856678,1,15,9.14214332237151e-05,D
星源材质,2026/6/23,0,22.49,0.9999998580629273,1,16,1.4193707265075517e-05,D
芯碁微装,2026/6/26,0,103.77,0.9999884355387219,1,17,0.0011564461278146254,D
圣邦股份,2026/6/26,0,47.07,0.006622955437024907,0,18,99.3377044562975,A
晶合集成,2026/7/10,0,0.0,0.004758838114272916,0,19,99.5241161885727,A
滨化股份,2026/7/10,1,-18.68,0.5543463544225399,1,20,44.565364557746015,C
安克创新,2026/7/2,0,15.69,0.9950535170779029,1,21,0.4946482922097095,D
鼎泰高科,2026/7/9,1,-1.79,0.008968507118173487,0,22,99.10314928818265,A
普源精电,2026/7/9,1,-37.36,0.9564541289633123,1,23,4.354587103668772,D
三环集团,2026/7/9,0,4.69,0.07205767435532967,0,24,92.79423256446704,A
